clip_id,label,annotator
TT_13_cam3_6877,other,heittor
TT_10_cam3_4844,object_interaction,heittor
TR_26_cam2_4118,object_interaction,heittor
TT_9_cam2_8412,object_interaction,heittor
TT_1_cam1_3922,freezing,heittor
TT_13_cam3_768,walking,heittor
TR_25_cam1_7507,freezing,heittor
TT_19_cam1_6519,freezing,heittor
TT_20_cam2_5975,other,heittor
TT_33_cam2_426,other,heittor
TT_33_cam2_7121,object_interaction,heittor
TT_9_cam2_8574,object_interaction,heittor
TT_25_cam1_4552,object_interaction,heittor
TT_10_cam3_2749,freezing,heittor
TT_29_cam2_5803,object_interaction,heittor
TT_13_cam3_6889,other,heittor
TR_24_cam3_1219,object_interaction,heittor
TT_6_cam2_823,other,heittor
TT_33_cam2_441,other,heittor
