clip_id,label,labels,annotator
TT_31_cam3_7311,walking,walking,heittor
TR_33_cam2_3984,grooming,grooming,heittor
TT_13_cam3_4807,rearing,rearing,heittor
TT_26_cam2_6986,still,still,heittor
TT_15_cam1_2565,sniffing,sniffing,heittor
TT_20_cam2_6757,object_interaction,object_interaction,heittor
TT_10_cam3_6992,rearing,rearing,heittor
TR_33_cam2_1944,grooming,walking;grooming,heittor
TR_27_cam3_7949,walking,walking;still,heittor
TT_12_cam2_8732,still,still,heittor
TT_22_cam1_6142,grooming,grooming,heittor
TR_34_cam3_8575,still,still,heittor
TT_27_cam3_8439,still,still,heittor
TR_32_cam1_9008,rearing,rearing,heittor
TT_25_cam1_3690,sniffing,walking;sniffing,heittor
TT_24_cam3_5468,still,still,heittor
TT_15_cam1_2685,sniffing,still;sniffing,heittor
TR_27_cam3_2969,walking,walking,heittor
TT_29_cam2_7456,sniffing,still;sniffing,heittor
TT_1_cam1_478,walking,still;walking,heittor
TR_34_cam3_4555,still,still,heittor
TT_13_cam3_247,object_interaction,object_interaction,heittor
TR_25_cam1_4062,object_interaction,object_interaction,heittor
TT_12_cam2_5672,walking,walking,heittor
TT_21_cam3_4012,object_interaction,object_interaction,heittor
TT_33_cam2_1100,object_interaction,object_interaction,heittor
TT_28_cam1_6599,grooming,grooming,heittor
TT_13_cam3_7147,walking,walking,heittor
TR_19_cam1_8348,still,still,heittor
TT_1_cam1_3538,still,still,heittor
TR_33_cam2_6024,object_interaction,object_interaction,heittor
TT_32_cam1_8348,sniffing,sniffing,heittor
TR_25_cam1_2862,rearing,rearing,heittor
TT_26_cam2_146,still,still,heittor
TR_26_cam2_8281,still,still,heittor
TT_13_cam3_8287,still,still,heittor
TT_1_cam1_4258,walking,walking,heittor
TT_22_cam1_3742,walking,walking,heittor
TT_13_cam3_5707,still,still,heittor
TT_10_cam3_8972,walking,walking,heittor
TT_20_cam2_3217,sniffing,walking;sniffing,heittor
TR_24_cam3_1776,sniffing,walking;sniffing,heittor
TR_26_cam2_5161,still,still,heittor
TT_6_cam2_5867,object_interaction,walking;object_interaction,heittor
TR_32_cam1_5348,grooming,walking;grooming,heittor
TT_9_cam2_5954,rearing,rearing,heittor
TT_10_cam3_392,walking,walking,heittor
TR_33_cam2_6384,walking,walking,heittor
TT_33_cam2_4940,still,still,heittor
TT_9_cam2_2834,object_interaction,object_interaction,heittor
TR_23_cam2_1475,rearing,rearing,heittor
TT_6_cam2_3587,rearing,rearing,heittor
TT_26_cam2_3746,still,still,heittor
TT_15_cam1_2205,object_interaction,object_interaction,heittor
TT_19_cam1_1676,sniffing,still;sniffing,heittor
TT_31_cam3_5511,grooming,grooming,heittor
TR_25_cam1_5802,object_interaction,object_interaction,heittor
TR_23_cam2_9035,walking,walking,heittor
TT_32_cam1_4388,object_interaction,object_interaction,heittor
TR_24_cam3_8796,object_interaction,object_interaction,heittor
TR_23_cam2_5195,rearing,rearing,heittor
TT_11_cam1_4084,rearing,rearing,heittor
TT_27_cam3_4179,rearing,rearing,heittor
TT_25_cam1_270,object_interaction,object_interaction;walking,heittor
TT_22_cam1_4162,still,still,heittor
TT_27_cam3_6699,sniffing,still;sniffing,heittor
TT_28_cam1_5459,grooming,still;grooming,heittor
TT_24_cam3_1208,walking,still;walking,heittor
TT_32_cam1_6128,walking,walking,heittor
TR_26_cam2_2221,grooming,grooming,heittor
TT_6_cam2_6947,grooming,grooming;walking,heittor
TT_11_cam1_2824,walking,walking,heittor
TT_13_cam3_1027,walking,walking,heittor
TT_12_cam2_2732,rearing,rearing,heittor
TR_34_cam3_595,object_interaction,object_interaction,heittor
TT_6_cam2_4667,grooming,grooming,heittor
TT_33_cam2_260,grooming,grooming,heittor
TT_12_cam2_8072,rearing,walking;rearing,heittor
TR_32_cam1_7268,walking,walking,heittor
TT_26_cam2_4046,still,still,heittor
TT_13_cam3_2407,rearing,rearing,heittor
TT_20_cam2_4897,rearing,rearing,heittor
TR_24_cam3_636,rearing,rearing,heittor
TR_25_cam1_1182,still,still,heittor
TT_15_cam1_3885,object_interaction,object_interaction;walking,heittor
TT_1_cam1_2158,still,still,heittor
TT_32_cam1_5828,walking,walking,heittor
TT_28_cam1_7379,grooming,grooming,heittor
TR_27_cam3_809,walking,walking,heittor
TT_32_cam1_4448,object_interaction,object_interaction,heittor
TT_6_cam2_4907,object_interaction,object_interaction,heittor
TT_22_cam1_3862,still,still,heittor
TT_10_cam3_5732,walking,walking,heittor
TT_32_cam1_3668,walking,walking,heittor
TT_13_cam3_2107,still,still,heittor
TT_25_cam1_7050,rearing,rearing,heittor
TT_13_cam3_4747,object_interaction,object_interaction;walking,heittor
TT_22_cam1_7882,object_interaction,object_interaction;walking,heittor
TT_24_cam3_5168,object_interaction,object_interaction;still,heittor
TR_27_cam3_8309,sniffing,sniffing,heittor
TT_24_cam3_6968,still,still,heittor
TT_15_cam1_5085,object_interaction,object_interaction;sniffing;walking,heittor
TR_21_cam3_2027,object_interaction,object_interaction,heittor
TT_11_cam1_1984,grooming,grooming,heittor
TR_21_cam3_107,object_interaction,walking;object_interaction,heittor
TT_12_cam2_1412,object_interaction,object_interaction,heittor
TT_12_cam2_3932,rearing,walking;rearing,heittor
TR_32_cam1_8348,rearing,walking;rearing,heittor
TT_32_cam1_7808,walking,still;walking,heittor
TT_33_cam2_4880,grooming,grooming,heittor
TT_25_cam1_1890,rearing,rearing,heittor
TT_12_cam2_6272,object_interaction,walking;object_interaction,heittor
TR_27_cam3_5129,object_interaction,object_interaction;sniffing,heittor
TT_21_cam3_5932,object_interaction,walking;object_interaction,heittor
TT_6_cam2_7967,sniffing,walking;sniffing,heittor
TT_10_cam3_5372,rearing,rearing,heittor
TT_27_cam3_5799,walking,walking,heittor
TR_21_cam3_4367,object_interaction,object_interaction;rearing,heittor
TT_25_cam1_5550,still,still,heittor
TR_23_cam2_5675,walking,walking,heittor
TT_10_cam3_1892,rearing,rearing,heittor
TT_26_cam2_3386,grooming,grooming,heittor
TT_10_cam3_3812,grooming,grooming,heittor
TR_22_cam1_8129,rearing,rearing,heittor
TT_25_cam1_3510,still,still,heittor
TT_11_cam1_8224,rearing,rearing,heittor
TT_22_cam1_6562,still,still,heittor
TR_22_cam1_8069,grooming,grooming,heittor
TT_9_cam2_5894,walking,walking,heittor
TR_26_cam2_6541,walking,walking,heittor
TR_32_cam1_7148,grooming,grooming,heittor
TT_6_cam2_407,rearing,rearing,heittor
TT_15_cam1_8565,object_interaction,object_interaction,heittor
TR_34_cam3_655,object_interaction,object_interaction;walking,heittor
TT_1_cam1_2218,walking,walking,heittor
TR_27_cam3_5909,sniffing,sniffing,heittor
TT_12_cam2_1532,object_interaction,object_interaction;walking,heittor
TT_11_cam1_2044,grooming,grooming,heittor
TT_25_cam1_3210,grooming,grooming,heittor
TT_28_cam1_539,sniffing,walking;sniffing,heittor
TT_32_cam1_3248,sniffing,walking;sniffing,heittor
TT_27_cam3_8499,sniffing,sniffing,heittor
TT_15_cam1_4425,object_interaction,walking;object_interaction,heittor
TT_12_cam2_1652,object_interaction,object_interaction;walking,heittor
TT_29_cam2_1216,grooming,grooming,heittor
TT_22_cam1_1222,grooming,grooming,heittor
TT_33_cam2_4100,walking,walking,heittor
TT_19_cam1_536,still,still,heittor
TR_32_cam1_7748,rearing,rearing,heittor
TR_22_cam1_4949,walking,walking,heittor
