clip_id,label,annotator,also
TR_26_cam2_4752,rearing,heittor,
TT_27_cam3_3009,grooming,heittor,
TT_25_cam1_990,grooming,heittor,
TT_32_cam1_1126,object_interaction,heittor,rearing
TT_12_cam2_3153,object_interaction,heittor,
TT_19_cam1_4097,still,heittor,
TT_9_cam2_1292,object_interaction,heittor,
TT_25_cam1_2327,object_interaction,heittor,
TT_6_cam2_7449,object_interaction,heittor,
TR_27_cam3_2088,rearing,heittor,
TT_26_cam2_7358,still,heittor,
TT_33_cam2_2389,object_interaction,heittor,
TT_19_cam1_7449,still,heittor,
TT_11_cam1_4941,walking,heittor,
TT_25_cam1_3008,grooming,heittor,
TT_13_cam3_5534,still,heittor,
TR_20_cam2_2779,object_interaction,heittor,
TT_26_cam2_4208,still,heittor,
TR_22_cam1_3118,grooming,heittor,
TT_25_cam1_7649,still,heittor,
TT_32_cam1_1311,object_interaction,heittor,
TR_33_cam2_2086,grooming,heittor,
TR_21_cam3_6108,object_interaction,heittor,
TT_20_cam2_997,walking,heittor,
TR_33_cam2_5691,walking,heittor,
TR_34_cam3_5796,still,heittor,
TR_32_cam1_4528,other,heittor,
TT_32_cam1_5002,other,heittor,
TT_25_cam1_586,object_interaction,heittor,
TT_9_cam2_1464,grooming,heittor,
TT_29_cam2_700,object_interaction,heittor,
TT_9_cam2_534,object_interaction,heittor,
TT_25_cam1_2469,rearing,heittor,
TT_19_cam1_9057,still,heittor,
TT_26_cam2_7251,still,heittor,
TR_25_cam1_6328,object_interaction,heittor,
TR_19_cam1_1402,grooming,heittor,
TR_19_cam1_8753,still,heittor,
TR_21_cam3_341,object_interaction,heittor,
TR_34_cam3_4836,still,heittor,
TR_34_cam3_4393,grooming,heittor,
TT_20_cam2_8441,object_interaction,heittor,
TT_19_cam1_6314,still,heittor,
TT_13_cam3_7811,still,heittor,
TT_26_cam2_1611,still,heittor,
TT_12_cam2_5200,object_interaction,heittor,
TR_19_cam1_5392,object_interaction,heittor,
TT_31_cam3_8487,still,heittor,
TT_28_cam1_6319,grooming,heittor,
TR_24_cam3_3245,rearing,heittor,
TT_24_cam3_2499,still,heittor,
TT_9_cam2_6624,grooming,heittor,
TT_20_cam2_8561,rearing,heittor,
TR_20_cam2_6944,rearing,heittor,
TT_21_cam3_60,object_interaction,heittor,
TT_27_cam3_8206,other,heittor,
TT_33_cam2_5863,still,heittor,
TT_9_cam2_3549,walking,heittor,
TT_19_cam1_7777,still,heittor,
TT_26_cam2_6170,still,heittor,
TT_15_cam1_5634,still,heittor,
TT_22_cam1_3591,object_interaction,heittor,
TR_26_cam2_3994,still,heittor,
TT_26_cam2_1464,still,heittor,
TT_11_cam1_835,still,heittor,
TT_10_cam3_7738,grooming,heittor,
TR_26_cam2_1643,still,heittor,
TT_19_cam1_5085,still,heittor,
TR_20_cam2_2566,walking,heittor,
TT_27_cam3_5123,still,heittor,
TT_27_cam3_4475,walking,heittor,
TR_34_cam3_6524,still,heittor,
TR_33_cam2_3761,still,heittor,
TR_33_cam2_2564,object_interaction,heittor,
TT_24_cam3_3270,still,heittor,
TR_32_cam1_4329,object_interaction,heittor,
TR_20_cam2_6831,walking,heittor,
TR_26_cam2_8804,still,heittor,
TT_19_cam1_8373,still,heittor,
TR_26_cam2_7053,rearing,heittor,
TR_22_cam1_1904,rearing,heittor,walking;grooming
TT_26_cam2_6827,still,heittor,
TT_28_cam1_8568,grooming,heittor,
TT_1_cam1_1668,still,heittor,
TR_22_cam1_2684,rearing,heittor,
TT_27_cam3_2669,grooming,heittor,
TT_33_cam2_4268,grooming,heittor,
TT_11_cam1_1084,grooming,heittor,
TR_20_cam2_523,object_interaction,heittor,
TT_19_cam1_1017,still,heittor,
TR_25_cam1_9003,object_interaction,heittor,
TT_33_cam2_1825,grooming,heittor,
TR_32_cam1_6179,walking,heittor,
TT_28_cam1_6903,grooming,heittor,
TT_29_cam2_4965,object_interaction,heittor,
TT_24_cam3_2158,still,heittor,
TT_26_cam2_8602,still,heittor,
TT_26_cam2_8482,still,heittor,
TR_23_cam2_645,rearing,heittor,
TT_32_cam1_4617,object_interaction,heittor,
