clip_id,label,labels,annotator
TR_32_cam1_1946,rearing,rearing,heittor
TT_13_cam3_6144,rearing,rearing,heittor
TR_23_cam2_3266,sniffing,sniffing,heittor
TR_23_cam2_3535,rearing,rearing;walking,heittor
TT_20_cam2_2767,object_interaction,object_interaction,heittor
TT_22_cam1_4646,still,still,heittor
TT_31_cam3_174,object_interaction,walking;object_interaction,heittor
TT_25_cam1_5009,object_interaction,object_interaction,heittor
TT_10_cam3_7498,walking,walking,heittor
TR_19_cam1_5491,object_interaction,object_interaction,heittor
TR_26_cam2_643,object_interaction,object_interaction,heittor
TT_19_cam1_5763,still,still,heittor
TT_6_cam2_704,object_interaction,object_interaction,heittor
TR_27_cam3_1519,walking,walking,heittor
TT_29_cam2_443,object_interaction,object_interaction;walking,heittor
TT_22_cam1_6806,object_interaction,object_interaction,heittor
TR_34_cam3_7429,still,still,heittor
TT_15_cam1_1649,object_interaction,object_interaction,heittor
TR_26_cam2_8971,sniffing,still;sniffing,heittor
TR_24_cam3_1132,object_interaction,walking;object_interaction,heittor
TR_21_cam3_7639,object_interaction,object_interaction,heittor
TT_26_cam2_7789,still,still,heittor
TT_19_cam1_3099,still,still,heittor
TT_20_cam2_2991,object_interaction,object_interaction,heittor
TT_21_cam3_5743,object_interaction,object_interaction,heittor
TT_33_cam2_4530,walking,walking,heittor
TT_26_cam2_6078,still,still,heittor
TT_28_cam1_5978,grooming,grooming,heittor
TT_10_cam3_574,object_interaction,object_interaction;still,heittor
TT_22_cam1_5492,still,still,heittor
TR_19_cam1_6148,object_interaction,object_interaction;walking,heittor
TT_13_cam3_6411,still,still,heittor
TR_25_cam1_2394,walking,walking,heittor
TR_19_cam1_6969,grooming,grooming,heittor
TR_24_cam3_3811,walking,walking,heittor
TR_33_cam2_4774,object_interaction,walking;object_interaction,heittor
TT_26_cam2_2828,still,still,heittor
TT_15_cam1_7700,still,still,heittor
TR_26_cam2_264,object_interaction,object_interaction,heittor
TT_25_cam1_4394,object_interaction,object_interaction,heittor
TT_11_cam1_6226,sniffing,sniffing,heittor
TT_13_cam3_2281,walking,walking,heittor
TR_20_cam2_313,object_interaction,object_interaction,heittor
TT_26_cam2_1718,still,still,heittor
TR_27_cam3_6279,object_interaction,object_interaction,heittor
TT_6_cam2_6076,rearing,rearing,heittor
TR_33_cam2_3514,object_interaction,object_interaction,heittor
TR_25_cam1_6104,object_interaction,object_interaction,heittor
TT_24_cam3_6517,still,still,heittor
TR_24_cam3_5977,object_interaction,object_interaction,heittor
TT_28_cam1_5870,grooming,grooming,heittor
TT_25_cam1_8283,still,still,heittor
TT_31_cam3_8665,still,still,heittor
TT_21_cam3_7299,grooming,grooming,heittor
TT_26_cam2_708,sniffing,sniffing,heittor
TT_24_cam3_1533,still,still,heittor
TT_32_cam1_2026,sniffing,sniffing,heittor
TT_20_cam2_4256,object_interaction,object_interaction,heittor
TT_27_cam3_2044,rearing,walking;rearing,heittor
TR_26_cam2_6143,object_interaction,object_interaction,heittor
TT_32_cam1_5256,sniffing,sniffing;still,heittor
TT_15_cam1_3535,object_interaction,object_interaction;walking,heittor
TR_26_cam2_4324,object_interaction,object_interaction,heittor
TT_27_cam3_2183,walking,walking,heittor
TT_22_cam1_2004,still,still,heittor
TT_27_cam3_7336,still,still,heittor
TT_10_cam3_2925,object_interaction,object_interaction,heittor
TR_33_cam2_8163,object_interaction,object_interaction,heittor
TT_10_cam3_6568,object_interaction,object_interaction,heittor
TR_32_cam1_1349,grooming,grooming,heittor
TT_10_cam3_5958,still,still,heittor
TT_27_cam3_408,walking,walking,heittor
TT_1_cam1_4131,sniffing,still;sniffing,heittor
