clip_id,session_id,start_frame,end_frame
TT_13_cam3_6877,TT_13_cam3,6877,6966
TT_10_cam3_4844,TT_10_cam3,4844,4933
TR_26_cam2_4118,TR_26_cam2,4118,4207
TT_9_cam2_8412,TT_9_cam2,8412,8501
TT_1_cam1_3922,TT_1_cam1,3922,4011
TT_13_cam3_768,TT_13_cam3,768,857
TR_25_cam1_7507,TR_25_cam1,7507,7596
TT_19_cam1_6519,TT_19_cam1,6519,6608
TT_20_cam2_5975,TT_20_cam2,5975,6064
TT_33_cam2_426,TT_33_cam2,426,515
TT_33_cam2_7121,TT_33_cam2,7121,7210
TT_9_cam2_8574,TT_9_cam2,8574,8663
TT_25_cam1_4552,TT_25_cam1,4552,4641
TT_10_cam3_2749,TT_10_cam3,2749,2838
TT_29_cam2_5803,TT_29_cam2,5803,5892
TT_13_cam3_6889,TT_13_cam3,6889,6978
TR_24_cam3_1219,TR_24_cam3,1219,1308
TT_6_cam2_823,TT_6_cam2,823,912
TT_33_cam2_441,TT_33_cam2,441,530
TT_28_cam1_5147,TT_28_cam1,5147,5236
TT_33_cam2_418,TT_33_cam2,418,507
TT_33_cam2_414,TT_33_cam2,414,503
TT_25_cam1_7355,TT_25_cam1,7355,7444
TT_21_cam3_3661,TT_21_cam3,3661,3750
TR_22_cam1_6021,TR_22_cam1,6021,6110
TT_31_cam3_968,TT_31_cam3,968,1057
TT_33_cam2_439,TT_33_cam2,439,528
TT_31_cam3_957,TT_31_cam3,957,1046
TR_26_cam2_2918,TR_26_cam2,2918,3007
TT_9_cam2_5073,TT_9_cam2,5073,5162
TT_33_cam2_447,TT_33_cam2,447,536
TT_15_cam1_4241,TT_15_cam1,4241,4330
TT_33_cam2_3172,TT_33_cam2,3172,3261
TT_1_cam1_6002,TT_1_cam1,6002,6091
TR_22_cam1_9075,TR_22_cam1,9075,9164
TT_20_cam2_1465,TT_20_cam2,1465,1554
TT_10_cam3_4849,TT_10_cam3,4849,4938
TR_34_cam3_1515,TR_34_cam3,1515,1604
TR_25_cam1_7827,TR_25_cam1,7827,7916
TT_9_cam2_5112,TT_9_cam2,5112,5201
TT_1_cam1_7673,TT_1_cam1,7673,7762
TT_13_cam3_2750,TT_13_cam3,2750,2839
TT_15_cam1_134,TT_15_cam1,134,223
TT_20_cam2_4594,TT_20_cam2,4594,4683
TR_34_cam3_1505,TR_34_cam3,1505,1594
TT_26_cam2_580,TT_26_cam2,580,669
TR_19_cam1_4261,TR_19_cam1,4261,4350
TR_22_cam1_6028,TR_22_cam1,6028,6117
TR_34_cam3_5953,TR_34_cam3,5953,6042
TT_6_cam2_6255,TT_6_cam2,6255,6344
TT_6_cam2_6260,TT_6_cam2,6260,6349
TT_22_cam1_7218,TT_22_cam1,7218,7307
TR_19_cam1_8043,TR_19_cam1,8043,8132
TT_32_cam1_2351,TT_32_cam1,2351,2440
TT_33_cam2_432,TT_33_cam2,432,521
TR_25_cam1_7560,TR_25_cam1,7560,7649
TT_27_cam3_4786,TT_27_cam3,4786,4875
TT_1_cam1_6033,TT_1_cam1,6033,6122
TT_13_cam3_6897,TT_13_cam3,6897,6986
TT_26_cam2_1885,TT_26_cam2,1885,1974
TT_31_cam3_956,TT_31_cam3,956,1045
TR_19_cam1_4756,TR_19_cam1,4756,4845
TT_10_cam3_4838,TT_10_cam3,4838,4927
TR_22_cam1_6003,TR_22_cam1,6003,6092
TR_20_cam2_2897,TR_20_cam2,2897,2986
TT_33_cam2_412,TT_33_cam2,412,501
TT_29_cam2_1775,TT_29_cam2,1775,1864
TR_22_cam1_3397,TR_22_cam1,3397,3486
TR_25_cam1_7804,TR_25_cam1,7804,7893
TR_25_cam1_5145,TR_25_cam1,5145,5234
TT_10_cam3_4843,TT_10_cam3,4843,4932
TR_25_cam1_7822,TR_25_cam1,7822,7911
TT_19_cam1_8765,TT_19_cam1,8765,8854
TT_15_cam1_114,TT_15_cam1,114,203
TT_9_cam2_8429,TT_9_cam2,8429,8518
TT_9_cam2_147,TT_9_cam2,147,236
TT_13_cam3_6904,TT_13_cam3,6904,6993
TT_13_cam3_6884,TT_13_cam3,6884,6973
TT_33_cam2_445,TT_33_cam2,445,534
TR_24_cam3_5834,TR_24_cam3,5834,5923
TR_23_cam2_2841,TR_23_cam2,2841,2930
TT_21_cam3_7802,TT_21_cam3,7802,7891
TR_22_cam1_1417,TR_22_cam1,1417,1506
TR_34_cam3_2753,TR_34_cam3,2753,2842
TT_6_cam2_6189,TT_6_cam2,6189,6278
TT_26_cam2_503,TT_26_cam2,503,592
TR_22_cam1_4574,TR_22_cam1,4574,4663
TT_20_cam2_3952,TT_20_cam2,3952,4041
TT_22_cam1_7271,TT_22_cam1,7271,7360
TR_19_cam1_4285,TR_19_cam1,4285,4374
TR_20_cam2_635,TR_20_cam2,635,724
TT_1_cam1_1882,TT_1_cam1,1882,1971
TT_32_cam1_2819,TT_32_cam1,2819,2908
TR_32_cam1_3459,TR_32_cam1,3459,3548
TT_13_cam3_6893,TT_13_cam3,6893,6982
TT_25_cam1_5239,TT_25_cam1,5239,5328
TT_33_cam2_1314,TT_33_cam2,1314,1403
TR_27_cam3_626,TR_27_cam3,626,715
TR_19_cam1_5999,TR_19_cam1,5999,6088
TR_20_cam2_7316,TR_20_cam2,7316,7405
TT_33_cam2_3046,TT_33_cam2,3046,3135
TT_19_cam1_4335,TT_19_cam1,4335,4424
TR_22_cam1_742,TR_22_cam1,742,831
TR_25_cam1_7845,TR_25_cam1,7845,7934
TT_10_cam3_4835,TT_10_cam3,4835,4924
TT_10_cam3_4840,TT_10_cam3,4840,4929
TT_26_cam2_8357,TT_26_cam2,8357,8446
TT_21_cam3_640,TT_21_cam3,640,729
TT_22_cam1_7204,TT_22_cam1,7204,7293
