clip_id,session_id,start_frame,end_frame,triage_label
TT_13_cam3_6877,TT_13_cam3,6877,6966,review
TT_10_cam3_4844,TT_10_cam3,4844,4933,review
TR_26_cam2_4118,TR_26_cam2,4118,4207,object_interaction
TT_9_cam2_8412,TT_9_cam2,8412,8501,object_interaction
TT_1_cam1_3922,TT_1_cam1,3922,4011,freezing
TT_13_cam3_768,TT_13_cam3,768,857,walking
TR_25_cam1_7507,TR_25_cam1,7507,7596,freezing
TT_19_cam1_6519,TT_19_cam1,6519,6608,freezing
TT_20_cam2_5975,TT_20_cam2,5975,6064,walking
TT_33_cam2_426,TT_33_cam2,426,515,review
TT_33_cam2_7121,TT_33_cam2,7121,7210,object_interaction
TT_9_cam2_8574,TT_9_cam2,8574,8663,low_activity
TT_25_cam1_4552,TT_25_cam1,4552,4641,object_interaction
TT_10_cam3_2749,TT_10_cam3,2749,2838,low_activity
TT_29_cam2_5803,TT_29_cam2,5803,5892,low_activity
TT_13_cam3_6889,TT_13_cam3,6889,6978,review
TR_24_cam3_1219,TR_24_cam3,1219,1308,low_activity
TT_6_cam2_823,TT_6_cam2,823,912,walking
TT_33_cam2_441,TT_33_cam2,441,530,review
TT_28_cam1_5147,TT_28_cam1,5147,5236,freezing
TT_33_cam2_418,TT_33_cam2,418,507,review
TT_33_cam2_414,TT_33_cam2,414,503,review
TT_25_cam1_7355,TT_25_cam1,7355,7444,low_activity
TT_21_cam3_3661,TT_21_cam3,3661,3750,low_activity
TR_22_cam1_6021,TR_22_cam1,6021,6110,freezing
TT_31_cam3_968,TT_31_cam3,968,1057,walking
TT_33_cam2_439,TT_33_cam2,439,528,review
TT_31_cam3_957,TT_31_cam3,957,1046,walking
TR_26_cam2_2918,TR_26_cam2,2918,3007,object_interaction
TT_9_cam2_5073,TT_9_cam2,5073,5162,object_interaction
TT_33_cam2_447,TT_33_cam2,447,536,review
TT_15_cam1_4241,TT_15_cam1,4241,4330,object_interaction
TT_33_cam2_3172,TT_33_cam2,3172,3261,low_activity
TT_1_cam1_6002,TT_1_cam1,6002,6091,freezing
TR_22_cam1_9075,TR_22_cam1,9075,9164,freezing
TT_20_cam2_1465,TT_20_cam2,1465,1554,walking
TT_10_cam3_4849,TT_10_cam3,4849,4938,review
TR_34_cam3_1515,TR_34_cam3,1515,1604,walking
TR_25_cam1_7827,TR_25_cam1,7827,7916,object_interaction
TT_9_cam2_5112,TT_9_cam2,5112,5201,object_interaction
TT_1_cam1_7673,TT_1_cam1,7673,7762,walking
