clip_id,session_id,start_frame,end_frame
TT_31_cam3_7311,TT_31_cam3,7311,7370
TR_33_cam2_3984,TR_33_cam2,3984,4043
TT_13_cam3_4807,TT_13_cam3,4807,4866
TT_26_cam2_6986,TT_26_cam2,6986,7045
TT_15_cam1_2565,TT_15_cam1,2565,2624
TT_20_cam2_6757,TT_20_cam2,6757,6816
TT_10_cam3_6992,TT_10_cam3,6992,7051
TR_33_cam2_1944,TR_33_cam2,1944,2003
TR_27_cam3_7949,TR_27_cam3,7949,8008
TT_12_cam2_8732,TT_12_cam2,8732,8791
TT_22_cam1_6142,TT_22_cam1,6142,6201
TR_34_cam3_8575,TR_34_cam3,8575,8634
TT_27_cam3_8439,TT_27_cam3,8439,8498
TR_32_cam1_9008,TR_32_cam1,9008,9067
TT_25_cam1_3690,TT_25_cam1,3690,3749
TT_24_cam3_5468,TT_24_cam3,5468,5527
TT_15_cam1_2685,TT_15_cam1,2685,2744
TR_27_cam3_2969,TR_27_cam3,2969,3028
TT_29_cam2_7456,TT_29_cam2,7456,7515
TT_1_cam1_478,TT_1_cam1,478,537
TR_34_cam3_4555,TR_34_cam3,4555,4614
TT_13_cam3_247,TT_13_cam3,247,306
TR_25_cam1_4062,TR_25_cam1,4062,4121
TT_12_cam2_5672,TT_12_cam2,5672,5731
TT_21_cam3_4012,TT_21_cam3,4012,4071
TT_33_cam2_1100,TT_33_cam2,1100,1159
TT_28_cam1_6599,TT_28_cam1,6599,6658
TT_13_cam3_7147,TT_13_cam3,7147,7206
TR_19_cam1_8348,TR_19_cam1,8348,8407
TT_1_cam1_3538,TT_1_cam1,3538,3597
TR_33_cam2_6024,TR_33_cam2,6024,6083
TT_32_cam1_8348,TT_32_cam1,8348,8407
TR_25_cam1_2862,TR_25_cam1,2862,2921
TT_26_cam2_146,TT_26_cam2,146,205
TR_26_cam2_8281,TR_26_cam2,8281,8340
TT_13_cam3_8287,TT_13_cam3,8287,8346
TT_1_cam1_4258,TT_1_cam1,4258,4317
TT_22_cam1_3742,TT_22_cam1,3742,3801
TT_13_cam3_5707,TT_13_cam3,5707,5766
TT_10_cam3_8972,TT_10_cam3,8972,9031
TT_20_cam2_3217,TT_20_cam2,3217,3276
TR_24_cam3_1776,TR_24_cam3,1776,1835
TR_26_cam2_5161,TR_26_cam2,5161,5220
TT_6_cam2_5867,TT_6_cam2,5867,5926
TR_32_cam1_5348,TR_32_cam1,5348,5407
TT_9_cam2_5954,TT_9_cam2,5954,6013
TT_10_cam3_392,TT_10_cam3,392,451
TR_33_cam2_6384,TR_33_cam2,6384,6443
TT_33_cam2_4940,TT_33_cam2,4940,4999
TT_9_cam2_2834,TT_9_cam2,2834,2893
TR_23_cam2_1475,TR_23_cam2,1475,1534
TT_6_cam2_3587,TT_6_cam2,3587,3646
TT_26_cam2_3746,TT_26_cam2,3746,3805
TT_15_cam1_2205,TT_15_cam1,2205,2264
TT_19_cam1_1676,TT_19_cam1,1676,1735
TT_31_cam3_5511,TT_31_cam3,5511,5570
TR_25_cam1_5802,TR_25_cam1,5802,5861
TR_23_cam2_9035,TR_23_cam2,9035,9094
TT_32_cam1_4388,TT_32_cam1,4388,4447
TR_24_cam3_8796,TR_24_cam3,8796,8855
TR_23_cam2_5195,TR_23_cam2,5195,5254
TT_11_cam1_4084,TT_11_cam1,4084,4143
TT_27_cam3_4179,TT_27_cam3,4179,4238
TT_25_cam1_270,TT_25_cam1,270,329
TT_22_cam1_4162,TT_22_cam1,4162,4221
TT_27_cam3_6699,TT_27_cam3,6699,6758
TT_28_cam1_5459,TT_28_cam1,5459,5518
TT_24_cam3_1208,TT_24_cam3,1208,1267
TT_32_cam1_6128,TT_32_cam1,6128,6187
TR_26_cam2_2221,TR_26_cam2,2221,2280
TT_6_cam2_6947,TT_6_cam2,6947,7006
TT_11_cam1_2824,TT_11_cam1,2824,2883
TT_13_cam3_1027,TT_13_cam3,1027,1086
TT_12_cam2_2732,TT_12_cam2,2732,2791
TR_34_cam3_595,TR_34_cam3,595,654
TT_6_cam2_4667,TT_6_cam2,4667,4726
TT_33_cam2_260,TT_33_cam2,260,319
TT_12_cam2_8072,TT_12_cam2,8072,8131
TR_32_cam1_7268,TR_32_cam1,7268,7327
TT_26_cam2_4046,TT_26_cam2,4046,4105
TT_13_cam3_2407,TT_13_cam3,2407,2466
TT_20_cam2_4897,TT_20_cam2,4897,4956
TR_24_cam3_636,TR_24_cam3,636,695
TR_25_cam1_1182,TR_25_cam1,1182,1241
TT_15_cam1_3885,TT_15_cam1,3885,3944
TT_1_cam1_2158,TT_1_cam1,2158,2217
TT_32_cam1_5828,TT_32_cam1,5828,5887
TT_28_cam1_7379,TT_28_cam1,7379,7438
TR_27_cam3_809,TR_27_cam3,809,868
TT_32_cam1_4448,TT_32_cam1,4448,4507
TT_6_cam2_4907,TT_6_cam2,4907,4966
TT_22_cam1_3862,TT_22_cam1,3862,3921
TT_10_cam3_5732,TT_10_cam3,5732,5791
TT_32_cam1_3668,TT_32_cam1,3668,3727
TT_13_cam3_2107,TT_13_cam3,2107,2166
TT_25_cam1_7050,TT_25_cam1,7050,7109
TT_13_cam3_4747,TT_13_cam3,4747,4806
TT_22_cam1_7882,TT_22_cam1,7882,7941
TT_24_cam3_5168,TT_24_cam3,5168,5227
TR_27_cam3_8309,TR_27_cam3,8309,8368
TT_24_cam3_6968,TT_24_cam3,6968,7027
TT_15_cam1_5085,TT_15_cam1,5085,5144
TR_21_cam3_2027,TR_21_cam3,2027,2086
TT_11_cam1_1984,TT_11_cam1,1984,2043
TR_21_cam3_107,TR_21_cam3,107,166
TT_12_cam2_1412,TT_12_cam2,1412,1471
TT_12_cam2_3932,TT_12_cam2,3932,3991
TR_32_cam1_8348,TR_32_cam1,8348,8407
TT_32_cam1_7808,TT_32_cam1,7808,7867
TT_33_cam2_4880,TT_33_cam2,4880,4939
TT_25_cam1_1890,TT_25_cam1,1890,1949
TT_12_cam2_6272,TT_12_cam2,6272,6331
TR_27_cam3_5129,TR_27_cam3,5129,5188
TT_21_cam3_5932,TT_21_cam3,5932,5991
TT_6_cam2_7967,TT_6_cam2,7967,8026
TT_10_cam3_5372,TT_10_cam3,5372,5431
TT_27_cam3_5799,TT_27_cam3,5799,5858
TR_21_cam3_4367,TR_21_cam3,4367,4426
TT_25_cam1_5550,TT_25_cam1,5550,5609
TR_23_cam2_5675,TR_23_cam2,5675,5734
TT_10_cam3_1892,TT_10_cam3,1892,1951
TT_26_cam2_3386,TT_26_cam2,3386,3445
TT_10_cam3_3812,TT_10_cam3,3812,3871
TR_22_cam1_8129,TR_22_cam1,8129,8188
TT_25_cam1_3510,TT_25_cam1,3510,3569
TT_11_cam1_8224,TT_11_cam1,8224,8283
TT_22_cam1_6562,TT_22_cam1,6562,6621
TR_22_cam1_8069,TR_22_cam1,8069,8128
TT_9_cam2_5894,TT_9_cam2,5894,5953
TR_26_cam2_6541,TR_26_cam2,6541,6600
TR_32_cam1_7148,TR_32_cam1,7148,7207
TT_6_cam2_407,TT_6_cam2,407,466
TT_15_cam1_8565,TT_15_cam1,8565,8624
TR_34_cam3_655,TR_34_cam3,655,714
TT_1_cam1_2218,TT_1_cam1,2218,2277
TR_27_cam3_5909,TR_27_cam3,5909,5968
TT_12_cam2_1532,TT_12_cam2,1532,1591
TT_11_cam1_2044,TT_11_cam1,2044,2103
TT_25_cam1_3210,TT_25_cam1,3210,3269
TT_28_cam1_539,TT_28_cam1,539,598
TT_32_cam1_3248,TT_32_cam1,3248,3307
TT_27_cam3_8499,TT_27_cam3,8499,8558
TT_15_cam1_4425,TT_15_cam1,4425,4484
TT_12_cam2_1652,TT_12_cam2,1652,1711
TT_29_cam2_1216,TT_29_cam2,1216,1275
TT_22_cam1_1222,TT_22_cam1,1222,1281
TT_33_cam2_4100,TT_33_cam2,4100,4159
TT_19_cam1_536,TT_19_cam1,536,595
TR_32_cam1_7748,TR_32_cam1,7748,7807
TR_22_cam1_4949,TR_22_cam1,4949,5008
