clip_id,session_id,start_frame,end_frame
TT_15_cam1_1266,TT_15_cam1,1266,1355
TR_23_cam2_6417,TR_23_cam2,6417,6506
TR_19_cam1_1251,TR_19_cam1,1251,1340
TR_25_cam1_9001,TR_25_cam1,9001,9090
TT_32_cam1_1866,TT_32_cam1,1866,1955
TT_28_cam1_4732,TT_28_cam1,4732,4821
TR_21_cam3_4566,TR_21_cam3,4566,4655
TR_34_cam3_7872,TR_34_cam3,7872,7961
TR_23_cam2_472,TR_23_cam2,472,561
TR_24_cam3_414,TR_24_cam3,414,503
TT_1_cam1_604,TT_1_cam1,604,693
TT_20_cam2_7700,TT_20_cam2,7700,7789
TT_19_cam1_7433,TT_19_cam1,7433,7522
TR_34_cam3_635,TR_34_cam3,635,724
TR_26_cam2_3203,TR_26_cam2,3203,3292
TR_19_cam1_1171,TR_19_cam1,1171,1260
TR_19_cam1_5391,TR_19_cam1,5391,5480
TR_24_cam3_5444,TR_24_cam3,5444,5533
TT_6_cam2_7447,TT_6_cam2,7447,7536
TT_25_cam1_7645,TT_25_cam1,7645,7734
TT_26_cam2_1289,TT_26_cam2,1289,1378
TT_11_cam1_1095,TT_11_cam1,1095,1184
TR_22_cam1_3143,TR_22_cam1,3143,3232
TR_32_cam1_7574,TR_32_cam1,7574,7663
TT_6_cam2_8786,TT_6_cam2,8786,8875
TT_24_cam3_3423,TT_24_cam3,3423,3512
TT_11_cam1_1391,TT_11_cam1,1391,1480
TT_9_cam2_3058,TT_9_cam2,3058,3147
TT_1_cam1_1020,TT_1_cam1,1020,1109
TT_26_cam2_6985,TT_26_cam2,6985,7074
TT_12_cam2_705,TT_12_cam2,705,794
TR_27_cam3_4128,TR_27_cam3,4128,4217
TT_11_cam1_4937,TT_11_cam1,4937,5026
TR_19_cam1_9142,TR_19_cam1,9142,9231
TT_9_cam2_2066,TT_9_cam2,2066,2155
TR_24_cam3_427,TR_24_cam3,427,516
TR_27_cam3_2319,TR_27_cam3,2319,2408
TT_26_cam2_2021,TT_26_cam2,2021,2110
TT_27_cam3_8207,TT_27_cam3,8207,8296
TT_1_cam1_581,TT_1_cam1,581,670
TR_24_cam3_5461,TR_24_cam3,5461,5550
TR_19_cam1_5386,TR_19_cam1,5386,5475
TR_27_cam3_7040,TR_27_cam3,7040,7129
TR_26_cam2_1947,TR_26_cam2,1947,2036
TT_19_cam1_3586,TT_19_cam1,3586,3675
TT_15_cam1_532,TT_15_cam1,532,621
TT_25_cam1_2472,TT_25_cam1,2472,2561
TT_11_cam1_1358,TT_11_cam1,1358,1447
TT_12_cam2_8318,TT_12_cam2,8318,8407
TT_27_cam3_3260,TT_27_cam3,3260,3349
TT_21_cam3_5359,TT_21_cam3,5359,5448
TR_27_cam3_6127,TR_27_cam3,6127,6216
TR_32_cam1_4899,TR_32_cam1,4899,4988
TR_20_cam2_6834,TR_20_cam2,6834,6923
TR_21_cam3_2353,TR_21_cam3,2353,2442
TT_24_cam3_367,TT_24_cam3,367,456
TT_27_cam3_2427,TT_27_cam3,2427,2516
TR_27_cam3_4563,TR_27_cam3,4563,4652
TR_27_cam3_7019,TR_27_cam3,7019,7108
TR_34_cam3_6265,TR_34_cam3,6265,6354
TR_27_cam3_2316,TR_27_cam3,2316,2405
TT_33_cam2_4880,TT_33_cam2,4880,4969
TT_31_cam3_4876,TT_31_cam3,4876,4965
TT_21_cam3_5363,TT_21_cam3,5363,5452
TT_12_cam2_5705,TT_12_cam2,5705,5794
TR_32_cam1_4535,TR_32_cam1,4535,4624
TT_22_cam1_5504,TT_22_cam1,5504,5593
TT_1_cam1_5464,TT_1_cam1,5464,5553
TR_24_cam3_412,TR_24_cam3,412,501
TT_11_cam1_1059,TT_11_cam1,1059,1148
TT_25_cam1_2496,TT_25_cam1,2496,2585
TR_23_cam2_5576,TR_23_cam2,5576,5665
TR_20_cam2_3654,TR_20_cam2,3654,3743
TR_34_cam3_615,TR_34_cam3,615,704
TR_24_cam3_5473,TR_24_cam3,5473,5562
TR_32_cam1_4330,TR_32_cam1,4330,4419
TR_24_cam3_2693,TR_24_cam3,2693,2782
TT_25_cam1_7098,TT_25_cam1,7098,7187
TT_28_cam1_4714,TT_28_cam1,4714,4803
TT_9_cam2_6622,TT_9_cam2,6622,6711
TT_15_cam1_3514,TT_15_cam1,3514,3603
TR_19_cam1_1381,TR_19_cam1,1381,1470
TT_33_cam2_5000,TT_33_cam2,5000,5089
TT_9_cam2_1471,TT_9_cam2,1471,1560
TT_10_cam3_7751,TT_10_cam3,7751,7840
TR_23_cam2_7421,TR_23_cam2,7421,7510
TR_23_cam2_7058,TR_23_cam2,7058,7147
TT_6_cam2_7430,TT_6_cam2,7430,7519
TT_31_cam3_8836,TT_31_cam3,8836,8925
TR_22_cam1_6153,TR_22_cam1,6153,6242
TR_19_cam1_474,TR_19_cam1,474,563
TT_9_cam2_3057,TT_9_cam2,3057,3146
TT_32_cam1_2167,TT_32_cam1,2167,2256
TT_32_cam1_1867,TT_32_cam1,1867,1956
TR_20_cam2_5502,TR_20_cam2,5502,5591
TT_19_cam1_7614,TT_19_cam1,7614,7703
TT_25_cam1_7659,TT_25_cam1,7659,7748
TT_19_cam1_5086,TT_19_cam1,5086,5175
TT_20_cam2_7741,TT_20_cam2,7741,7830
TR_32_cam1_3233,TR_32_cam1,3233,3322
