clip_id,session_id,start_frame,end_frame,triage_label
TR_26_cam2_4752,TR_26_cam2,4752,4841,low_activity
TT_27_cam3_3009,TT_27_cam3,3009,3098,low_activity
TT_25_cam1_990,TT_25_cam1,990,1079,low_activity
TT_32_cam1_1126,TT_32_cam1,1126,1215,walking
TT_12_cam2_3153,TT_12_cam2,3153,3242,low_activity
TT_19_cam1_4097,TT_19_cam1,4097,4186,freezing
TT_9_cam2_1292,TT_9_cam2,1292,1381,walking
TT_25_cam1_2327,TT_25_cam1,2327,2416,low_activity
TT_6_cam2_7449,TT_6_cam2,7449,7538,low_activity
TR_27_cam3_2088,TR_27_cam3,2088,2177,walking
TT_26_cam2_7358,TT_26_cam2,7358,7447,freezing
TT_33_cam2_2389,TT_33_cam2,2389,2478,walking
TT_19_cam1_7449,TT_19_cam1,7449,7538,freezing
TT_11_cam1_4941,TT_11_cam1,4941,5030,walking
TT_25_cam1_3008,TT_25_cam1,3008,3097,low_activity
TT_13_cam3_5534,TT_13_cam3,5534,5623,low_activity
TR_20_cam2_2779,TR_20_cam2,2779,2868,walking
TT_26_cam2_4208,TT_26_cam2,4208,4297,low_activity
TR_22_cam1_3118,TR_22_cam1,3118,3207,low_activity
TT_25_cam1_7649,TT_25_cam1,7649,7738,freezing
TT_32_cam1_1311,TT_32_cam1,1311,1400,low_activity
TR_33_cam2_2086,TR_33_cam2,2086,2175,low_activity
TR_21_cam3_6108,TR_21_cam3,6108,6197,low_activity
TT_20_cam2_997,TT_20_cam2,997,1086,walking
TR_33_cam2_5691,TR_33_cam2,5691,5780,walking
TR_34_cam3_5796,TR_34_cam3,5796,5885,freezing
TR_32_cam1_4528,TR_32_cam1,4528,4617,low_activity
TT_32_cam1_5002,TT_32_cam1,5002,5091,low_activity
TT_25_cam1_586,TT_25_cam1,586,675,low_activity
TT_9_cam2_1464,TT_9_cam2,1464,1553,low_activity
TT_29_cam2_700,TT_29_cam2,700,789,walking
TT_9_cam2_534,TT_9_cam2,534,623,walking
TT_25_cam1_2469,TT_25_cam1,2469,2558,walking
TT_19_cam1_9057,TT_19_cam1,9057,9146,freezing
