clip_id,session_id,start_frame,end_frame
TR_32_cam1_1946,TR_32_cam1,1946,2005
TT_13_cam3_6144,TT_13_cam3,6144,6203
TR_23_cam2_3266,TR_23_cam2,3266,3325
TR_23_cam2_3535,TR_23_cam2,3535,3594
TT_20_cam2_2767,TT_20_cam2,2767,2826
TT_22_cam1_4646,TT_22_cam1,4646,4705
TT_31_cam3_174,TT_31_cam3,174,233
TT_25_cam1_5009,TT_25_cam1,5009,5068
TT_10_cam3_7498,TT_10_cam3,7498,7557
TR_19_cam1_5491,TR_19_cam1,5491,5550
TR_26_cam2_643,TR_26_cam2,643,702
TT_19_cam1_5763,TT_19_cam1,5763,5822
TT_6_cam2_704,TT_6_cam2,704,763
TR_27_cam3_1519,TR_27_cam3,1519,1578
TT_29_cam2_443,TT_29_cam2,443,502
TT_22_cam1_6806,TT_22_cam1,6806,6865
TR_34_cam3_7429,TR_34_cam3,7429,7488
TT_15_cam1_1649,TT_15_cam1,1649,1708
TR_26_cam2_8971,TR_26_cam2,8971,9030
TR_24_cam3_1132,TR_24_cam3,1132,1191
TR_21_cam3_7639,TR_21_cam3,7639,7698
TT_26_cam2_7789,TT_26_cam2,7789,7848
TT_19_cam1_3099,TT_19_cam1,3099,3158
TT_20_cam2_2991,TT_20_cam2,2991,3050
TT_21_cam3_5743,TT_21_cam3,5743,5802
TT_33_cam2_4530,TT_33_cam2,4530,4589
TT_26_cam2_6078,TT_26_cam2,6078,6137
TT_28_cam1_5978,TT_28_cam1,5978,6037
TT_10_cam3_574,TT_10_cam3,574,633
TT_22_cam1_5492,TT_22_cam1,5492,5551
TR_19_cam1_6148,TR_19_cam1,6148,6207
TT_13_cam3_6411,TT_13_cam3,6411,6470
TR_25_cam1_2394,TR_25_cam1,2394,2453
TR_19_cam1_6969,TR_19_cam1,6969,7028
TR_24_cam3_3811,TR_24_cam3,3811,3870
TR_33_cam2_4774,TR_33_cam2,4774,4833
TT_26_cam2_2828,TT_26_cam2,2828,2887
TT_15_cam1_7700,TT_15_cam1,7700,7759
TR_26_cam2_264,TR_26_cam2,264,323
TT_25_cam1_4394,TT_25_cam1,4394,4453
TT_11_cam1_6226,TT_11_cam1,6226,6285
TT_13_cam3_2281,TT_13_cam3,2281,2340
TR_20_cam2_313,TR_20_cam2,313,372
TT_26_cam2_1718,TT_26_cam2,1718,1777
TR_27_cam3_6279,TR_27_cam3,6279,6338
TT_6_cam2_6076,TT_6_cam2,6076,6135
TR_33_cam2_3514,TR_33_cam2,3514,3573
TR_25_cam1_6104,TR_25_cam1,6104,6163
TT_24_cam3_6517,TT_24_cam3,6517,6576
TR_24_cam3_5977,TR_24_cam3,5977,6036
TT_28_cam1_5870,TT_28_cam1,5870,5929
TT_25_cam1_8283,TT_25_cam1,8283,8342
TT_31_cam3_8665,TT_31_cam3,8665,8724
TT_21_cam3_7299,TT_21_cam3,7299,7358
TT_26_cam2_708,TT_26_cam2,708,767
TT_24_cam3_1533,TT_24_cam3,1533,1592
TT_32_cam1_2026,TT_32_cam1,2026,2085
TT_20_cam2_4256,TT_20_cam2,4256,4315
TT_27_cam3_2044,TT_27_cam3,2044,2103
TR_26_cam2_6143,TR_26_cam2,6143,6202
TT_32_cam1_5256,TT_32_cam1,5256,5315
TT_15_cam1_3535,TT_15_cam1,3535,3594
TR_26_cam2_4324,TR_26_cam2,4324,4383
TT_27_cam3_2183,TT_27_cam3,2183,2242
TT_22_cam1_2004,TT_22_cam1,2004,2063
TT_27_cam3_7336,TT_27_cam3,7336,7395
TT_10_cam3_2925,TT_10_cam3,2925,2984
TR_33_cam2_8163,TR_33_cam2,8163,8222
TT_10_cam3_6568,TT_10_cam3,6568,6627
TR_32_cam1_1349,TR_32_cam1,1349,1408
TT_10_cam3_5958,TT_10_cam3,5958,6017
TT_27_cam3_408,TT_27_cam3,408,467
TT_1_cam1_4131,TT_1_cam1,4131,4190
TR_22_cam1_1634,TR_22_cam1,1634,1693
TT_15_cam1_8101,TT_15_cam1,8101,8160
TR_19_cam1_4680,TR_19_cam1,4680,4739
TR_32_cam1_1689,TR_32_cam1,1689,1748
TT_10_cam3_6423,TT_10_cam3,6423,6482
TR_21_cam3_1123,TR_21_cam3,1123,1182
TT_26_cam2_301,TT_26_cam2,301,360
TT_31_cam3_3098,TT_31_cam3,3098,3157
TT_24_cam3_589,TT_24_cam3,589,648
TR_33_cam2_222,TR_33_cam2,222,281
TR_22_cam1_5174,TR_22_cam1,5174,5233
TT_10_cam3_3947,TT_10_cam3,3947,4006
TT_26_cam2_6540,TT_26_cam2,6540,6599
TT_25_cam1_7576,TT_25_cam1,7576,7635
TR_34_cam3_1175,TR_34_cam3,1175,1234
TT_11_cam1_5742,TT_11_cam1,5742,5801
TT_9_cam2_5687,TT_9_cam2,5687,5746
TR_19_cam1_3040,TR_19_cam1,3040,3099
TT_25_cam1_8392,TT_25_cam1,8392,8451
TT_28_cam1_8212,TT_28_cam1,8212,8271
TT_13_cam3_2988,TT_13_cam3,2988,3047
TR_21_cam3_2760,TR_21_cam3,2760,2819
TT_29_cam2_4364,TT_29_cam2,4364,4423
TT_21_cam3_4317,TT_21_cam3,4317,4376
TT_15_cam1_7242,TT_15_cam1,7242,7301
TT_11_cam1_8655,TT_11_cam1,8655,8714
TR_19_cam1_424,TR_19_cam1,424,483
TR_23_cam2_6906,TR_23_cam2,6906,6965
TR_33_cam2_5169,TR_33_cam2,5169,5228
TR_26_cam2_8530,TR_26_cam2,8530,8589
TT_31_cam3_2028,TT_31_cam3,2028,2087
TT_11_cam1_6671,TT_11_cam1,6671,6730
TT_13_cam3_2877,TT_13_cam3,2877,2936
TT_21_cam3_7940,TT_21_cam3,7940,7999
TR_27_cam3_3903,TR_27_cam3,3903,3962
TR_22_cam1_3582,TR_22_cam1,3582,3641
TT_31_cam3_246,TT_31_cam3,246,305
TR_34_cam3_5151,TR_34_cam3,5151,5210
TT_21_cam3_8829,TT_21_cam3,8829,8888
TR_33_cam2_2286,TR_33_cam2,2286,2345
TT_32_cam1_7084,TT_32_cam1,7084,7143
TT_24_cam3_8793,TT_24_cam3,8793,8852
TT_22_cam1_3042,TT_22_cam1,3042,3101
TT_19_cam1_8949,TT_19_cam1,8949,9008
TT_6_cam2_1429,TT_6_cam2,1429,1488
TT_19_cam1_1446,TT_19_cam1,1446,1505
TR_34_cam3_3052,TR_34_cam3,3052,3111
TT_32_cam1_2738,TT_32_cam1,2738,2797
TR_19_cam1_4949,TR_19_cam1,4949,5008
TT_1_cam1_7266,TT_1_cam1,7266,7325
TR_25_cam1_7082,TR_25_cam1,7082,7141
TT_21_cam3_1439,TT_21_cam3,1439,1498
TT_11_cam1_5520,TT_11_cam1,5520,5579
TT_22_cam1_5375,TT_22_cam1,5375,5434
TR_34_cam3_7170,TR_34_cam3,7170,7229
TR_22_cam1_2527,TR_22_cam1,2527,2586
TT_11_cam1_4691,TT_11_cam1,4691,4750
TT_33_cam2_8160,TT_33_cam2,8160,8219
TT_24_cam3_3679,TT_24_cam3,3679,3738
TT_15_cam1_318,TT_15_cam1,318,377
TT_19_cam1_5448,TT_19_cam1,5448,5507
TT_22_cam1_5776,TT_22_cam1,5776,5835
TT_29_cam2_7889,TT_29_cam2,7889,7948
TT_27_cam3_6328,TT_27_cam3,6328,6387
TR_34_cam3_6144,TR_34_cam3,6144,6203
TT_21_cam3_8613,TT_21_cam3,8613,8672
TR_24_cam3_5091,TR_24_cam3,5091,5150
TT_24_cam3_6075,TT_24_cam3,6075,6134
TT_28_cam1_687,TT_28_cam1,687,746
TR_23_cam2_7851,TR_23_cam2,7851,7910
TR_33_cam2_1448,TR_33_cam2,1448,1507
TT_12_cam2_2287,TT_12_cam2,2287,2346
TT_19_cam1_6692,TT_19_cam1,6692,6751
TT_20_cam2_235,TT_20_cam2,235,294
TT_26_cam2_2412,TT_26_cam2,2412,2471
TT_24_cam3_5325,TT_24_cam3,5325,5384
TT_29_cam2_6817,TT_29_cam2,6817,6876
