clip_id,session_id,start_frame,end_frame,triage_label
TR_32_cam1_1946,TR_32_cam1,1946,2005,review
TT_13_cam3_6144,TT_13_cam3,6144,6203,review
TR_23_cam2_3266,TR_23_cam2,3266,3325,low_activity
TR_23_cam2_3535,TR_23_cam2,3535,3594,walking
TT_20_cam2_2767,TT_20_cam2,2767,2826,object_interaction
TT_22_cam1_4646,TT_22_cam1,4646,4705,freezing
TT_31_cam3_174,TT_31_cam3,174,233,walking
TT_25_cam1_5009,TT_25_cam1,5009,5068,review
TT_10_cam3_7498,TT_10_cam3,7498,7557,walking
TR_19_cam1_5491,TR_19_cam1,5491,5550,low_activity
TR_26_cam2_643,TR_26_cam2,643,702,low_activity
TT_19_cam1_5763,TT_19_cam1,5763,5822,freezing
TT_6_cam2_704,TT_6_cam2,704,763,object_interaction
TR_27_cam3_1519,TR_27_cam3,1519,1578,walking
TT_29_cam2_443,TT_29_cam2,443,502,walking
TT_22_cam1_6806,TT_22_cam1,6806,6865,review
TR_34_cam3_7429,TR_34_cam3,7429,7488,freezing
TT_15_cam1_1649,TT_15_cam1,1649,1708,low_activity
TR_26_cam2_8971,TR_26_cam2,8971,9030,review
TR_24_cam3_1132,TR_24_cam3,1132,1191,walking
TR_21_cam3_7639,TR_21_cam3,7639,7698,object_interaction
TT_26_cam2_7789,TT_26_cam2,7789,7848,freezing
TT_19_cam1_3099,TT_19_cam1,3099,3158,freezing
TT_20_cam2_2991,TT_20_cam2,2991,3050,walking
TT_21_cam3_5743,TT_21_cam3,5743,5802,review
TT_33_cam2_4530,TT_33_cam2,4530,4589,walking
TT_26_cam2_6078,TT_26_cam2,6078,6137,freezing
TT_28_cam1_5978,TT_28_cam1,5978,6037,review
TT_10_cam3_574,TT_10_cam3,574,633,low_activity
TT_22_cam1_5492,TT_22_cam1,5492,5551,low_activity
TR_19_cam1_6148,TR_19_cam1,6148,6207,walking
TT_13_cam3_6411,TT_13_cam3,6411,6470,freezing
TR_25_cam1_2394,TR_25_cam1,2394,2453,walking
TR_19_cam1_6969,TR_19_cam1,6969,7028,review
TR_24_cam3_3811,TR_24_cam3,3811,3870,walking
TR_33_cam2_4774,TR_33_cam2,4774,4833,walking
TT_26_cam2_2828,TT_26_cam2,2828,2887,freezing
TT_15_cam1_7700,TT_15_cam1,7700,7759,object_interaction
TR_26_cam2_264,TR_26_cam2,264,323,object_interaction
TT_25_cam1_4394,TT_25_cam1,4394,4453,object_interaction
TT_11_cam1_6226,TT_11_cam1,6226,6285,review
TT_13_cam3_2281,TT_13_cam3,2281,2340,walking
TR_20_cam2_313,TR_20_cam2,313,372,low_activity
TT_26_cam2_1718,TT_26_cam2,1718,1777,freezing
TR_27_cam3_6279,TR_27_cam3,6279,6338,low_activity
TT_6_cam2_6076,TT_6_cam2,6076,6135,review
TR_33_cam2_3514,TR_33_cam2,3514,3573,object_interaction
TR_25_cam1_6104,TR_25_cam1,6104,6163,review
TT_24_cam3_6517,TT_24_cam3,6517,6576,freezing
TR_24_cam3_5977,TR_24_cam3,5977,6036,object_interaction
