frame,move_nose,move_body,bp_sum,bp_mean,bp_min,bp_max,roll2s_mean,roll2s_sum,roll5s_mean,roll5s_sum,roll6s_mean,roll6s_sum,roll7_5s_mean,roll7_5s_sum,roll15s_mean,roll15s_sum,prob_sum,prob_mean,low_prob_01,low_prob_05,low_prob_075,rule_label
0,0.3857,2.839,2.5648,0.5538,2.6161,2.8163,0.9306,2.1832,1.7211,1.1591,2.2822,2.5952,0.9001,0.7644,1.1017,1.5182,2.7,0.7797,1.616,2.4519,1.8935,3
1,1.4978,0.345,0.2805,1.7141,2.5271,0.0905,1.4376,2.1353,0.9773,2.2141,1.693,2.7679,1.6397,0.6005,0.4547,0.7537,2.4972,0.8848,0.3477,2.4581,1.2293,3
2,1.8045,0.238,1.4997,1.2502,1.1928,2.7453,1.768,0.3904,0.5193,1.4298,0.1394,2.4749,1.6191,1.816,0.0259,1.854,0.8879,0.7063,0.5803,2.1458,2.7194,3
3,0.0861,0.5751,0.7338,2.8098,1.4654,1.8645,0.7676,2.733,1.1988,2.8113,1.1228,0.6712,1.1845,2.8549,2.115,0.5404,1.3727,1.257,0.1909,1.7153,2.6272,3
4,0.4438,0.6617,0.8551,1.8554,0.1499,1.7925,1.7826,1.7857,2.8502,2.7184,1.7809,0.1189,2.8776,1.4093,2.1065,1.7084,0.93,1.271,0.2204,1.1995,0.5479,3
5,2.7846,0.4883,2.2404,2.934,1.9169,1.1649,0.3374,2.6884,0.1681,0.9767,2.5941,2.2118,1.8919,0.1768,0.2984,1.0729,1.0033,2.1748,1.8511,0.5671,1.696,3
6,0.2113,0.228,2.9311,2.5767,2.4078,0.4882,1.5948,2.2388,0.335,2.9674,1.9829,1.6446,0.9521,1.1707,1.21,0.7797,2.0692,2.107,1.0443,1.8904,0.1599,3
7,0.3893,0.6286,0.8367,1.4723,0.5931,1.8015,0.2552,2.6651,2.63,1.584,1.9118,1.7522,2.825,0.8731,2.1503,0.4512,2.5123,0.8942,0.782,1.391,0.0231,3
8,2.845,0.6701,1.6277,0.0492,1.9071,2.6554,1.1699,2.4246,0.6532,0.2218,2.2375,1.201,1.0292,1.3533,0.583,1.653,0.548,2.9601,0.1116,2.9391,0.3711,3
9,1.8657,1.4386,0.9309,0.6388,0.4204,0.0726,2.1374,2.1933,1.9985,0.11,1.263,1.7915,2.3486,2.9163,1.6197,2.2065,0.5562,0.7754,2.9311,2.6977,2.565,3
10,1.107,1.9432,0.1864,0.358,2.517,1.6649,0.5992,1.7988,0.2637,1.1042,2.4354,2.2279,2.243,2.8991,0.4082,2.2672,0.5538,2.4492,2.4851,2.935,0.5481,3
11,1.5342,1.0916,1.8074,2.2127,2.1914,1.9126,0.4567,0.837,0.1115,1.2451,2.1735,1.4522,0.412,1.6663,0.2336,0.6314,2.4897,1.4552,0.6883,0.4676,0.2026,3
12,1.9885,0.5045,0.4661,0.4133,2.8034,2.7576,2.8962,0.7535,1.8518,0.5417,0.2856,1.2994,1.0453,2.1865,2.1731,0.9802,0.3771,2.6965,0.1704,2.3843,2.7391,3
13,0.8259,0.284,2.063,1.9354,0.8519,0.0451,1.2866,2.7454,2.2261,2.7009,2.1746,1.3159,0.7088,0.0714,0.9583,0.6898,1.3427,0.7372,0.0835,0.1974,0.2842,3
14,0.4139,0.7892,2.2416,0.9676,0.5109,1.1091,0.1723,2.3927,0.6056,0.9279,2.6797,0.1163,2.8607,1.7359,1.9778,2.1039,0.4367,1.0881,0.6045,0.3005,1.4644,3
15,2.3641,0.5124,0.427,1.4416,1.7123,0.3807,1.2761,0.7571,1.3897,2.3185,2.8304,1.1107,1.3009,1.8524,1.8861,2.977,0.9959,0.87,1.256,0.4831,1.2616,3
16,2.0111,1.4431,1.7889,2.2701,0.1739,0.9326,0.8168,0.3129,0.4789,0.6525,1.3246,1.1591,2.6449,2.5218,2.5355,1.9815,0.3036,2.3979,2.3464,2.0668,1.5657,3
17,1.5371,2.6133,0.6251,0.895,2.4628,2.722,2.4532,2.6292,2.4852,1.3029,0.3647,0.7568,1.8417,1.2945,0.3201,2.1382,0.6443,2.6238,1.7055,2.1133,0.3226,3
18,2.4502,2.1494,2.2894,0.5152,0.6132,0.5404,2.6375,0.0405,0.4045,1.1484,1.7043,2.0845,2.3016,1.2586,1.4496,0.5687,2.4319,0.5729,2.2802,1.3296,1.4289,3
19,1.6472,0.6097,0.8578,0.8641,0.3999,1.0774,2.2859,1.8721,1.6883,2.2997,0.2969,2.4068,0.6941,2.5577,0.1628,1.2899,1.9758,1.7639,0.2674,0.8457,0.3558,3
20,2.9427,0.1075,2.0687,2.8309,0.4441,2.4654,2.0215,2.1227,2.8365,1.097,1.7203,1.1855,1.1368,0.4089,2.3792,1.198,1.9224,0.1008,1.1263,0.4073,1.1245,3
21,0.6135,0.2029,1.9437,1.6585,2.1104,2.2485,1.7129,1.2752,0.634,0.6677,2.2429,2.2043,2.4678,2.8713,1.4052,2.2573,1.0788,2.3032,1.6052,0.2601,2.135,3
22,1.6612,1.3074,1.7256,0.8614,0.1482,2.751,0.1736,2.7414,2.187,2.5122,1.7806,1.5375,2.1217,2.1041,2.0796,0.0698,0.9567,0.7596,2.9602,1.1587,0.4427,3
23,1.4509,1.0908,0.6529,0.4371,1.2648,0.3716,1.9524,1.9384,1.481,1.9504,2.0811,0.9195,2.7751,2.6058,2.6424,1.7282,0.1498,0.2746,2.4018,0.4864,0.0007,3
24,1.0598,2.0473,2.5028,0.2047,0.5447,0.2154,1.1615,2.9776,2.5824,0.5101,2.2475,0.0897,2.3328,2.6311,1.9827,1.4801,1.165,2.9762,2.8601,0.672,1.9444,3
25,1.7748,0.2517,1.0645,1.002,2.3417,0.6657,0.8456,2.0728,2.5926,0.7138,1.4366,0.9304,2.0116,1.1892,0.4881,2.1021,2.4921,2.1573,1.9661,0.6233,2.5743,3
26,0.7059,0.7637,2.3117,1.842,0.1623,1.4838,1.6948,1.6733,1.498,0.2967,0.7737,2.6519,2.0202,2.7766,0.9899,2.1576,0.8112,0.6909,1.6495,2.3024,0.4647,3
27,2.4066,2.0573,1.4249,1.3705,0.5891,2.0393,0.7262,0.2412,1.4112,2.4997,2.3637,2.5086,0.8229,2.1635,2.4168,0.4201,0.6702,2.4641,2.1203,0.1345,0.2132,3
28,2.602,1.7042,1.3442,2.4367,2.3153,0.3523,2.9619,2.6437,2.3074,1.2571,1.5262,2.8309,0.4251,1.8768,1.0202,1.2611,0.0222,0.1212,2.0286,0.3314,0.5323,3
29,0.3863,1.5501,2.1367,2.9841,1.5474,1.8835,1.7938,0.3521,2.1395,2.4918,2.0973,2.3635,1.7733,0.3901,1.8345,2.4037,2.2081,1.0957,0.4668,0.5732,0.3119,3
30,1.4012,2.705,1.0226,1.7107,0.3455,0.6664,2.2464,0.8271,0.9902,1.7509,1.1646,1.917,1.7756,1.4993,1.396,1.1696,0.4008,0.5237,1.6734,1.4747,1.563,0
31,0.8314,0.34,2.2904,1.0348,2.9701,2.8878,0.326,1.9456,2.8323,2.3813,2.7135,0.167,2.6013,1.6849,2.0234,0.0053,0.5045,1.632,1.3093,0.6245,2.9819,0
32,0.2494,0.5864,1.3348,2.3841,1.1133,1.6673,0.1099,2.0522,1.5109,2.2686,1.1847,0.2193,0.7581,0.4468,2.3758,2.8391,0.2052,1.7006,0.4576,2.5009,1.6724,0
33,2.6878,1.6967,2.2216,0.2661,1.2585,0.4191,0.517,2.7767,0.7399,1.3977,1.8006,2.5175,0.7398,1.0048,1.9599,0.6025,1.8138,2.2899,1.5997,1.1304,0.3375,0
34,1.2898,1.6959,2.0926,2.2787,2.2247,2.4984,0.553,2.8378,1.1864,0.7684,1.9024,0.4116,2.7739,1.4374,2.5884,1.6407,0.439,2.7767,2.859,2.1972,0.671,0
35,0.4431,2.9403,2.836,2.645,1.4769,1.4817,1.6512,2.7643,1.2038,1.171,1.5876,0.379,1.445,0.662,0.5739,0.3185,1.9929,1.0475,0.6415,0.9072,2.3634,0
36,2.0201,2.9323,1.2259,2.3282,2.4891,2.3101,1.9676,2.3699,1.4984,1.5939,2.3835,2.7409,1.455,0.7421,2.4314,2.4305,1.8057,0.1491,1.7247,0.3869,1.5801,0
37,0.6066,1.7618,1.047,0.296,1.6074,1.6268,2.6869,1.1458,1.0351,2.9907,0.8054,1.2446,1.9477,1.1998,0.5888,0.8345,2.8026,1.2687,2.108,0.7742,1.498,0
38,2.7043,2.2766,2.9845,1.7432,0.7371,2.6547,0.2857,2.1713,1.3753,0.8596,0.1868,0.2671,0.026,0.3996,1.8393,0.1024,1.0318,2.0523,1.4472,0.4252,2.3455,0
39,0.6514,2.0922,1.549,2.4066,1.6074,0.8442,1.4926,0.4668,2.9203,2.2079,0.4659,0.6789,0.5542,0.9301,2.5511,1.6245,1.5678,1.4035,2.1103,2.1989,1.1555,0
40,0.0992,0.3988,1.2554,1.2348,2.5162,2.9092,1.9785,0.9733,2.9787,0.7692,1.2809,0.7141,2.7389,1.1968,2.0651,0.6605,2.7774,0.7894,1.984,2.9597,0.4817,0
41,0.6023,1.8069,2.1022,2.5321,0.841,0.0541,1.2488,2.989,0.7685,1.8971,2.1047,1.4773,0.3824,0.7631,0.144,1.361,1.8262,1.8743,2.0274,0.2399,0.4101,0
42,1.0372,0.9173,0.7504,0.498,1.9071,1.1311,0.2165,1.9184,0.9263,2.2054,0.4609,0.2344,2.7804,0.6661,2.5009,2.8763,2.1662,1.6518,0.8467,0.9812,1.5322,0
43,1.4067,1.0769,2.8733,1.5862,1.7389,0.472,0.2896,2.7862,1.1337,0.0025,1.2603,1.5375,2.767,1.263,0.9934,0.2376,0.4439,1.7509,2.4244,0.8375,2.9778,0
44,2.7184,0.4689,2.2616,1.6746,2.0788,2.9624,0.0271,0.4982,0.6935,2.1855,1.8896,0.9583,0.1833,1.9974,0.3841,0.3681,2.74,2.8485,0.9964,0.3443,1.9282,0
45,2.0921,0.025,1.9471,2.3648,1.0801,0.0586,0.9636,1.7965,0.666,2.606,0.6206,0.2487,1.5559,0.1753,2.9021,1.3384,1.3001,2.5707,2.6693,0.731,2.3472,0
46,1.018,2.5609,0.8755,1.2361,0.6799,0.8651,0.4816,0.5516,1.4557,2.7146,1.9329,1.3191,0.9009,0.9895,1.1288,0.6576,1.9838,0.3084,0.0334,2.5824,2.1022,0
47,0.0506,2.1512,2.428,0.7748,1.9934,1.1649,2.8483,2.12,1.2503,2.6223,1.9515,1.7683,2.0022,0.8512,0.4109,2.6176,2.3329,2.224,2.1381,2.6581,2.0938,0
48,0.4795,2.2566,2.7574,2.1364,2.5434,0.2261,1.8922,2.781,0.233,1.1454,0.689,0.9207,2.7986,1.7623,2.5374,0.2643,0.9986,1.0867,2.5237,1.4042,0.1529,0
49,2.9893,0.8641,2.3742,0.3427,1.4143,2.7546,0.2938,1.3095,1.5624,0.4406,2.6768,0.9936,0.9217,0.2874,1.9457,2.6814,2.959,1.883,2.9352,1.5504,1.2487,0
50,1.3791,1.2522,2.7369,1.1036,0.4101,2.3124,1.9964,0.0527,1.4212,1.0241,2.851,1.0064,0.4162,0.3633,0.3217,0.1308,1.3821,1.2458,1.0806,2.9212,2.154,0
51,2.0731,0.5283,0.2766,1.4041,2.4117,1.6144,1.5135,0.9981,2.8557,2.6427,2.7904,2.8654,2.8044,2.8249,0.0824,0.6994,2.3634,2.9007,2.5535,1.9126,0.0918,0
52,0.164,1.8065,2.2237,2.3634,1.5845,1.2189,2.4913,0.2602,2.5555,2.0279,0.6817,2.6001,2.3198,1.6442,2.7666,0.0415,1.3874,2.4025,2.1982,1.173,0.015,0
53,0.1022,2.5176,2.5989,1.2743,2.047,0.5827,0.5652,1.3723,1.9261,1.5149,0.9744,0.9749,1.1029,1.7862,2.8747,0.3462,1.5774,2.0502,2.2486,2.1098,1.7624,0
54,2.5377,2.3365,1.4285,1.6866,0.3041,0.4944,1.0405,2.4052,1.5709,0.0184,1.631,2.2159,2.5512,0.4831,2.7337,1.1034,1.6848,0.7557,2.7921,1.2894,0.5322,0
55,1.7636,2.8014,0.2404,2.035,2.3544,1.2188,1.4665,2.9446,0.3384,0.216,2.4436,2.5412,1.5753,0.0495,2.4597,1.0751,1.1282,0.3613,1.8512,1.6514,1.6856,0
56,0.9261,0.7814,1.6277,2.0267,1.1174,1.8401,1.5349,0.8343,1.9332,1.6645,0.0697,2.0234,0.3123,0.2529,0.1628,0.4238,1.2237,0.3765,1.7734,2.9173,0.015,0
57,0.9521,2.104,0.7276,2.8905,2.6697,2.5609,0.4296,0.4478,2.7992,2.614,0.7566,2.099,1.1297,0.1307,2.7536,0.6118,0.1696,1.7131,2.524,0.8445,0.1163,0
58,0.2677,0.3801,0.0978,1.3895,0.7431,0.7297,2.4914,0.1417,2.8981,1.8303,1.9548,0.2419,2.2219,1.0907,0.9415,1.1265,2.262,1.1567,2.2562,1.7522,0.0521,0
59,0.518,1.6089,2.8074,1.7153,0.0183,2.5883,0.4735,0.9231,2.7878,1.0822,0.6801,2.423,0.9407,0.7269,1.1538,0.1108,2.5767,2.943,0.1707,2.757,1.7822,0
60,0.0738,0.3307,2.4969,0.0582,0.9578,1.9849,1.3885,0.7739,2.2148,0.0179,0.6608,0.1712,1.9388,2.8807,0.5557,2.7768,2.8208,1.243,2.9799,2.0262,1.847,0
61,2.5174,1.621,1.9034,0.5756,2.1716,0.478,1.7069,0.622,1.0333,0.6317,2.9903,2.9585,0.5252,0.1253,0.8327,2.398,0.0309,0.6072,2.8337,2.9149,1.6494,0
62,1.3989,1.6264,2.2455,0.7463,2.1595,0.095,1.3151,2.6537,0.5441,1.8466,1.8243,0.613,2.3443,0.0041,0.0909,0.1177,2.0146,2.8717,0.4561,1.2468,2.6877,0
63,0.3816,1.0408,2.0143,0.6336,2.5434,0.0738,1.0216,0.8578,0.6676,0.8773,2.0692,0.6696,0.6154,0.2504,2.8435,0.9337,0.0794,1.5444,2.7737,0.4625,0.8177,0
64,2.2177,1.0485,1.3885,1.5573,0.6316,2.8923,2.1665,0.4762,1.1829,1.6107,0.267,1.3975,1.0055,0.024,0.2079,0.7855,2.0151,2.3765,1.3294,0.6743,0.8822,0
65,0.587,2.1333,0.3638,0.598,1.7817,0.7365,1.5726,0.4528,0.3486,0.1207,0.893,1.1559,2.3186,1.4623,2.9803,2.0357,2.8027,0.7557,0.8772,1.987,2.4769,0
66,0.1858,1.4431,0.8662,1.7101,0.2186,0.198,2.0504,2.176,0.9164,1.6194,0.366,0.3658,0.589,1.2061,0.1622,2.2574,1.5287,1.6466,2.9025,1.4204,1.6989,0
67,1.7952,1.2229,1.5182,2.4775,0.6736,1.9772,2.2871,1.2909,2.9169,1.381,0.7449,0.495,1.3618,0.917,0.726,0.1829,0.3462,2.2623,2.1516,2.8389,0.9954,0
