session_id,animal_id,field,behavior,start_frame,end_frame,annotator
TR_25_cam1,25,0,object_interaction,204,434,heittor
TR_25_cam1,25,0,object_interaction,461,620,heittor
TR_25_cam1,25,0,object_interaction,546,546,heittor
TR_25_cam1,25,0,rearing,648,709,heittor
TR_25_cam1,25,0,rearing,710,790,heittor
TR_25_cam1,25,0,rearing,855,936,heittor
TR_25_cam1,25,0,rearing,994,1108,heittor
TR_25_cam1,25,0,rearing,1280,1491,heittor
TR_25_cam1,25,0,object_interaction,1622,1694,heittor
TR_25_cam1,25,0,object_interaction,1741,1762,heittor
TR_25_cam1,25,0,object_interaction,1934,2231,heittor
TR_25_cam1,25,0,object_interaction,2262,2347,heittor
TR_25_cam1,25,0,rearing,2452,2524,heittor
TR_25_cam1,25,0,rearing,2605,2704,heittor
TR_25_cam1,25,0,rearing,2810,2914,heittor
TR_25_cam1,25,0,object_interaction,2997,3259,heittor
TR_25_cam1,25,0,grooming,3386,3753,heittor
TR_25_cam1,25,0,object_interaction,3880,4102,heittor
TR_25_cam1,25,0,rearing,4159,4220,heittor
TR_25_cam1,25,0,rearing,4246,4307,heittor
TR_25_cam1,25,0,object_interaction,4538,4628,heittor
TR_25_cam1,25,0,grooming,4688,4744,heittor
TR_25_cam1,25,0,rearing,4817,4888,heittor
TR_25_cam1,25,0,object_interaction,4941,4962,heittor
TR_25_cam1,25,0,rearing,4985,5079,heittor
TR_25_cam1,25,0,object_interaction,5182,5209,heittor
TR_25_cam1,25,0,rearing,5309,5485,heittor
TR_25_cam1,25,0,object_interaction,5503,5684,heittor
TR_25_cam1,25,0,rearing,5720,5778,heittor
TR_25_cam1,25,0,object_interaction,5777,5920,heittor
TR_25_cam1,25,0,object_interaction,5934,6045,heittor
TR_25_cam1,25,0,object_interaction,6068,6195,heittor
TR_25_cam1,25,0,rearing,6240,6295,heittor
TR_25_cam1,25,0,object_interaction,6296,6353,heittor
TR_25_cam1,25,0,object_interaction,6524,6641,heittor
TR_25_cam1,25,0,rearing,6850,6891,heittor
TR_25_cam1,25,0,object_interaction,6917,7253,heittor
TR_25_cam1,25,0,object_interaction,7738,7945,heittor
TR_25_cam1,25,0,rearing,8056,8120,heittor
TR_25_cam1,25,0,rearing,8118,8146,heittor
TR_25_cam1,25,0,object_interaction,8161,8537,heittor
TR_25_cam1,25,0,object_interaction,8534,8590,heittor
TR_25_cam1,25,0,rearing,8599,8657,heittor
TR_25_cam1,25,0,object_interaction,8658,8996,heittor
TR_25_cam1,25,0,object_interaction,9055,9180,heittor
TR_33_cam2,33,0,object_interaction,177,362,heittor
TR_33_cam2,33,0,object_interaction,493,651,heittor
TR_33_cam2,33,0,object_interaction,692,754,heittor
TR_33_cam2,33,0,object_interaction,765,784,heittor
TR_33_cam2,33,0,grooming,814,843,heittor
TR_33_cam2,33,0,rearing,861,895,heittor
TR_33_cam2,33,0,object_interaction,915,988,heittor
TR_33_cam2,33,0,grooming,1026,1080,heittor
TR_33_cam2,33,0,object_interaction,1106,1262,heittor
TR_33_cam2,33,0,object_interaction,1271,1330,heittor
TR_33_cam2,33,0,object_interaction,1345,1468,heittor
TR_33_cam2,33,0,rearing,1492,1532,heittor
TR_33_cam2,33,0,object_interaction,1548,1612,heittor
TR_33_cam2,33,0,object_interaction,1627,1644,heittor
TR_33_cam2,33,0,rearing,1731,1792,heittor
TR_33_cam2,33,0,rearing,1828,1872,heittor
TR_33_cam2,33,0,grooming,1873,1887,heittor
TR_33_cam2,33,0,rearing,1887,1910,heittor
TR_33_cam2,33,0,grooming,1975,2065,heittor
TR_33_cam2,33,0,grooming,2075,2367,heittor
TR_33_cam2,33,0,object_interaction,2377,2564,heittor
TR_33_cam2,33,0,object_interaction,2636,2787,heittor
TR_33_cam2,33,0,object_interaction,2813,2914,heittor
TR_33_cam2,33,0,sniffing,2952,3011,heittor
TR_33_cam2,33,0,rearing,3010,3064,heittor
TR_33_cam2,33,0,grooming,3076,3112,heittor
TR_33_cam2,33,0,object_interaction,3126,3146,heittor
TR_33_cam2,33,0,rearing,3180,3198,heittor
TR_33_cam2,33,0,object_interaction,3275,3349,heittor
TR_33_cam2,33,0,grooming,3377,3415,heittor
TR_33_cam2,33,0,object_interaction,3415,3429,heittor
TR_33_cam2,33,0,object_interaction,3490,3595,heittor
TR_33_cam2,33,0,grooming,3721,4085,heittor
TR_33_cam2,33,0,rearing,4097,4138,heittor
TR_33_cam2,33,0,rearing,4173,4260,heittor
TR_33_cam2,33,0,rearing,4267,4284,heittor
TR_33_cam2,33,0,object_interaction,4300,4304,heittor
TR_33_cam2,33,0,rearing,4304,4329,heittor
TR_33_cam2,33,0,object_interaction,4329,4340,heittor
TR_33_cam2,33,0,rearing,4340,4378,heittor
TR_33_cam2,33,0,object_interaction,4403,4457,heittor
TR_33_cam2,33,0,sniffing,4482,4601,heittor
TR_33_cam2,33,0,object_interaction,4591,4623,heittor
TR_33_cam2,33,0,object_interaction,4650,4664,heittor
TR_33_cam2,33,0,rearing,4690,4755,heittor
TR_33_cam2,33,0,object_interaction,4787,4793,heittor
TR_33_cam2,33,0,object_interaction,4802,4815,heittor
TR_33_cam2,33,0,grooming,4861,4888,heittor
TR_33_cam2,33,0,rearing,4889,4927,heittor
TR_33_cam2,33,0,object_interaction,4944,5108,heittor
TR_33_cam2,33,0,object_interaction,5141,5300,heittor
TR_33_cam2,33,0,sniffing,5347,5380,heittor
TR_33_cam2,33,0,object_interaction,5390,5470,heittor
TR_33_cam2,33,0,object_interaction,5650,5693,heittor
TR_33_cam2,33,0,sniffing,5706,5798,heittor
TR_33_cam2,33,0,grooming,5788,5829,heittor
TR_33_cam2,33,0,object_interaction,5856,5875,heittor
TR_33_cam2,33,0,object_interaction,6027,6164,heittor
TR_33_cam2,33,0,object_interaction,6175,6206,heittor
TR_33_cam2,33,0,rearing,6259,6309,heittor
TR_33_cam2,33,0,sniffing,6545,6611,heittor
TR_33_cam2,33,0,object_interaction,7120,7161,heittor
TR_33_cam2,33,0,grooming,7341,7454,heittor
TR_33_cam2,33,0,rearing,7448,7515,heittor
TR_33_cam2,33,0,object_interaction,7918,7922,heittor
TR_33_cam2,33,0,object_interaction,7986,8252,heittor
TR_33_cam2,33,0,object_interaction,8379,8400,heittor
TR_33_cam2,33,0,grooming,8458,8540,heittor
TR_33_cam2,33,0,object_interaction,8556,8652,heittor
TR_33_cam2,33,0,grooming,8703,8743,heittor
TR_33_cam2,33,0,object_interaction,8782,8889,heittor
TR_33_cam2,33,0,grooming,9128,9233,heittor
TR_27_cam3,27,0,sniffing,81,142,heittor
TR_27_cam3,27,0,sniffing,185,238,heittor
TR_27_cam3,27,0,sniffing,295,329,heittor
TR_27_cam3,27,0,sniffing,385,433,heittor
TR_27_cam3,27,0,sniffing,576,622,heittor
TR_27_cam3,27,0,sniffing,700,749,heittor
TR_27_cam3,27,0,sniffing,959,1002,heittor
